Data(UTC) Time(UTC) Latitude Longitude
12-Oct-2013 18:15:22 -37.798779 144.947925
12-Oct-2013 18:15:23 -37.798775 144.9479
12-Oct-2013 18:15:24 -37.798749 144.947885
12-Oct-2013 18:15:25 -37.798734 144.947865
12-Oct-2013 18:15:26 -37.798723 144.947869
12-Oct-2013 18:15:27 -37.798712 144.947873
12-Oct-2013 18:15:28 -37.798694 144.947871
12-Oct-2013 18:15:29 -37.798679 144.947867
12-Oct-2013 18:15:30 -37.798682 144.94787
12-Oct-2013 18:15:31 -37.798699 144.947871
12-Oct-2013 18:15:32 -37.798704 144.947886
12-Oct-2013 18:15:33 -37.798686 144.947865
12-Oct-2013 18:15:34 -37.798716 144.947867
12-Oct-2013 18:15:35 -37.798689 144.947878
12-Oct-2013 18:15:36 -37.798694 144.947896
12-Oct-2013 18:15:37 -37.7987 144.947875
12-Oct-2013 18:15:38 -37.798694 144.947881
12-Oct-2013 18:15:39 -37.798684 144.947877
12-Oct-2013 18:15:40 -37.798693 144.947869
12-Oct-2013 18:15:41 -37.798695 144.947858
12-Oct-2013 18:15:42 -37.798692 144.947849
12-Oct-2013 18:15:43 -37.798694 144.94785
12-Oct-2013 18:15:44 -37.798684 144.947848
12-Oct-2013 18:15:45 -37.798686 144.947838
12-Oct-2013 18:15:46 -37.798683 144.947836
12-Oct-2013 18:15:47 -37.798678 144.947829
12-Oct-2013 18:15:48 -37.798681 144.947804
12-Oct-2013 18:15:49 -37.79868 144.947817
12-Oct-2013 18:15:50 -37.798674 144.9478
12-Oct-2013 18:15:51 -37.798679 144.947806
12-Oct-2013 18:15:52 -37.798679 144.94779
12-Oct-2013 18:15:53 -37.798677 144.947772
12-Oct-2013 18:15:54 -37.798676 144.947499
12-Oct-2013 18:15:55 -37.798672 144.947419
12-Oct-2013 18:15:56 -37.798683 144.947338
12-Oct-2013 18:15:57 -37.798661 144.947258
12-Oct-2013 18:15:58 -37.798621 144.947048
12-Oct-2013 18:15:59 -37.798612 144.946974
12-Oct-2013 18:16:00 -37.798603 144.946898
12-Oct-2013 18:16:01 -37.798604 144.946807
12-Oct-2013 18:16:02 -37.798585 144.946724
12-Oct-2013 18:16:03 -37.798582 144.946717
12-Oct-2013 18:16:04 -37.798586 144.946695
12-Oct-2013 18:16:05 -37.798582 144.946679
12-Oct-2013 18:16:06 -37.79859 144.946681
12-Oct-2013 18:16:07 -37.798575 144.94668
12-Oct-2013 18:16:08 -37.79857 144.946679
12-Oct-2013 18:16:09 -37.798574 144.946667
12-Oct-2013 18:16:10 -37.798569 144.946662
12-Oct-2013 18:16:11 -37.798566 144.946637
